id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35169,Καλώδιο φόρτισης & data - Lightning - YH-C1280 - 5,Καλώδιο φόρτισης & data - Lightning - YH-C1280 - 5G - iOS - 1m - 012808,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/012808.jpg,OEM,No Color,0.3,"<p>Kαλώδιο μήκους 1 μέτρου lightning για συσκευές iOs. </p><p>Διατίθεται σε διάφορα χρώματα: Μπλε, Μωβ, Χρυσό, Πορτοκαλί. </p><p>Σημειώστε το χρώμα που επιθυμείτε στις σημειώσεις παραγγελίας - Αποστολή κατόπιν διαθεσιμότητας.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36332,Καλώδιο Mini USB Android - V8 - 3M - 194752,Καλώδιο Mini USB Android - V8 - 3M - 194752,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_194752.jpg,OEM,No Color,0.1,<p>Καλώδιο Mini USB Android - V8 - 3M - 194752</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36334,Καλώδιο Mini USB Android - V8 - 1M - 194881,Καλώδιο Mini USB Android - V8 - 1M - 194881,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_194881_V8-1.jpg,OEM,No Color,0.1,<p>Καλώδιο Mini USB Android - V8 - 1M - 194881.</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36660,Αντάπτορας USB Type-C σε USB-A - T011B - 202042,Αντάπτορας USB Type-C σε USB-A - T011B - 202042,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_202042.jpg,OEM,No Color,0.2,<p>Αντάπτορας USB Type-C σε USB 3.0 - T011B</p><p>βύσμα 1: USB TYPE C Male<br />βύσμα 2: USB TYPE A Female</p><p> </p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36662,Καλώδιο USB Type-C to Lightning - TP158B - 1m - 210917,Καλώδιο USB Type-C to Lightning - TP158B - 1m - 210917,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_210917.jpg,OEM,No Color,0.2,<p>Καλώδιο USB Type C σε Lightning για φόρτιση και μεταφορά δεδομένων<br />Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36664,Αντάπτορας Type C-Micro USB - T013B - 202004,Αντάπτορας Type C-Micro USB - T013B - 202004,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1106_202004.jpg,OEM,No Color,0.1,"<p>Αντάπτορας Type C - Micro USB,  T013B</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36799,Καλώδιο φόρτισης & data - USB to Lightning - 1m - ,Καλώδιο φόρτισης & data - USB to Lightning - 1m - D5 - 194701,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_194701.jpg,OEM,No Color,0.3,<p>Καλώδιο φόρτισης USB to Lightning μήκους 1.0m - D5</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36800,Καλώδιο φόρτισης & data - USB to Lightning - 3m - ,Καλώδιο φόρτισης & data - USB to Lightning - 3m - D5 -194721,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_194721.jpg,OEM,No Color,0.3,<p>Καλώδιο φόρτισης USB to Lightning μήκους 3m - D5</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36801,Καλώδιο USB Type-C to Lightning - 1.5m - C85 - 241009,Καλώδιο USB Type-C to Lightning - 1.5m - C85 - 241009,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_241009.jpg,OEM,No Color,0.3,"<p>Καλώδιο USB Type-C to Lightning, μήκους 1.5m - C85</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
36802,Καλώδιο Lightning to Type-C - 1m - C87 - 872402,Καλώδιο Lightning to Type-C - 1m - C87 - 872402,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0308_872402.jpg,OEM,No Color,0.3,"<p>Καλώδιο USB Lightning σε Type-C, μήκους 1m - C87 </p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
37322,Αντάπτορας φόρτισης με 2 θύρες USB κα�,Αντάπτορας φόρτισης με 2 θύρες USB και καλώδιο Lightning - 1m - 000097,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/110190.png,OEM,No Color,0.1,<p>Αντάπτορας φόρτισης με 2 θύρες USB και καλώδιο Lightning για νέες συσκευές iOS<br />Μήκος καλωδίου: 1m</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
37358,Καλώδιο φόρτισης 3 in 1 - Fast Charging - X15 - 1m,Καλώδιο φόρτισης 3 in 1 - Fast Charging - X15 - 1m - 988755 - Black,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/988755-Αντιγραφή-2.png,OEM,No Color,0.1,"<p>Καλώδιο φόρτισης 3 σε 1, Fast Charging, με 3 εναλλασσόμενα βύσματα φόρτισης που τοποθετούνται μαγνητικά. <br />Ταχεία φόρτιση στα 2.4A<br />Μήκος καλωδίου: 1m</p><p>Καλύπτει όλες τις νέες συσκευές iOS και όλες τις συσκευές Αndroid.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
37638,Καλώδιο φόρτισης 3 in 1 - Fast Charging - X15 - 1m,Καλώδιο φόρτισης 3 in 1 - Fast Charging - X15 - 1m - 988755 - Blue,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/988755-Αντιγραφή.png,OEM,No Color,0.1,"<p>Καλώδιο φόρτισης 3 σε 1, Fast Charging, με 3 εναλλασσόμενα βύσματα φόρτισης που τοποθετούνται μαγνητικά. <br />Ταχεία φόρτιση στα 2.4A<br />Μήκος καλωδίου: 1m</p><p>Καλύπτει όλες τις νέες συσκευές iOS και όλες τις συσκευές Αndroid.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
37639,Καλώδιο φόρτισης 3 in 1 - Fast Charging - X15 - 1m,Καλώδιο φόρτισης 3 in 1 - Fast Charging - X15 - 1m - 988755 - Red,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/988755-1.png,OEM,No Color,0.1,"<p>Καλώδιο φόρτισης 3 σε 1, Fast Charging, με 3 εναλλασσόμενα βύσματα φόρτισης που τοποθετούνται μαγνητικά. <br />Ταχεία φόρτιση στα 2.4A<br />Μήκος καλωδίου: 1m</p><p>Καλύπτει όλες τις νέες συσκευές iOS και όλες τις συσκευές Αndroid.</p>",ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
38655,Καλώδιο φόρτισης & data - Micro USB - V8 - 1M - 19,Καλώδιο φόρτισης & data - Micro USB - V8 - 1M - 194853,in stock,new,2.7 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/0911_194853.jpg,OEM,No Color,0.1,<p>Καλώδιο Micro USB για συσκευές Android - V8<br />Μήκος: 1m</p><p>Διαστάσεις συσκευασίας: 20 Χ 8 εκατοστά.</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
39822,Καλώδιο USB All-in-one – 3 in 1 – 1.2m – 194796,Καλώδιο USB All-in-one – 3 in 1 – 1.2m – 194796,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/194796.jpg,OEM,No Color,0.4,<p>Καλώδιο φόρτισης και data USB All-in-one – 3in1 με 3 διαφορετικά βύσματα:<br />USB TypeC<br />Micro USB<br />Lightning<br />Μήκος: 1.2m<br />Χρώμα: λευκό</p>,ΕΙΔΗ ΤΕΧΝΟΛΟΓΙΑΣ>Καλώδια>Καλώδια smartphone
